episode,step,lane_id,x,y,speed_kmh,heading,action,reward,front_gap_m,is_collision,is_lane_change,is_exit_lane,timestamp
1,0,0,180.35,0.0,90.0,0.0,2,0.96,,0,1,0,2026-03-21 10:26:44
1,1,1,205.09,3.41,90.0,0.07,2,0.97,,0,1,0,2026-03-21 10:26:45
1,2,2,229.73,7.36,90.0,0.07,2,0.98,,0,1,0,2026-03-21 10:26:46
1,3,3,254.37,11.36,90.0,0.07,1,0.98,,0,0,1,2026-03-21 10:26:48
1,4,3,279.36,11.95,90.0,0.01,1,0.98,,0,0,1,2026-03-21 10:26:49
1,5,3,304.36,12.0,90.0,0.0,1,0.98,,0,0,1,2026-03-21 10:26:50
1,6,3,329.36,12.0,90.0,0.0,1,0.98,,0,0,1,2026-03-21 10:26:51
1,7,3,354.36,12.0,90.0,0.0,1,0.98,,0,0,1,2026-03-21 10:26:52
1,8,3,379.36,12.0,90.0,0.0,1,0.02,,1,0,1,2026-03-21 10:26:53
